cdr_id,msisdn,service_type,usage_time,usage_amount
45,628128589947,sms,2025-07-24 12:05:00,1
46,628127797739,sms,2025-07-23 13:47:00,1
47,628122416021,sms,2025-07-24 04:01:00,1
48,628121639031,voice,2025-07-21 15:00:00,515
49,628127462323,voice,2025-07-26 11:17:00,532
50,628122978943,voice,2025-07-27 06:23:00,353
51,628127466049,data,2025-07-25 22:37:00,6987
52,628121502217,sms,2025-07-21 04:44:00,1
53,628125696120,sms,2025-07-22 02:36:00,1
54,628125214769,data,2025-07-20 19:50:00,1462
55,628122039076,sms,2025-07-27 06:01:00,1
56,628125504299,voice,2025-07-26 17:16:00,302
57,628128465257,sms,2025-07-23 23:17:00,1
58,628122425329,data,2025-07-26 20:01:00,1859
59,628123030673,sms,2025-07-23 11:16:00,1
60,628128802589,sms,2025-07-22 23:58:00,1
61,628129404565,data,2025-07-20 15:22:00,8230
62,628127687340,data,2025-07-21 10:42:00,8020
63,628128515246,sms,2025-07-21 00:07:00,1
64,628127261360,sms,2025-07-25 05:44:00,1
65,628122282682,data,2025-07-20 08:20:00,5237
66,628122465108,voice,2025-07-21 10:28:00,442
67,628128465257,data,2025-07-26 06:01:00,867
68,628128108454,voice,2025-07-20 14:41:00,582
69,628121263060,sms,2025-07-23 14:46:00,1
70,628126343932,data,2025-07-23 23:19:00,8022
71,628125226050,data,2025-07-27 01:15:00,824
72,628125475259,data,2025-07-22 20:22:00,2546
73,628121160723,voice,2025-07-26 06:44:00,353
74,628127178348,voice,2025-07-23 13:09:00,285
75,628129805646,voice,2025-07-24 20:26:00,196
76,628123116190,data,2025-07-25 19:59:00,9341
77,628121589063,sms,2025-07-24 01:16:00,1
78,628127056333,voice,2025-07-27 03:43:00,587
79,628126788668,voice,2025-07-23 08:58:00,323
80,628127240912,sms,2025-07-21 04:15:00,1
81,628121120966,sms,2025-07-26 05:12:00,1
82,628121231141,data,2025-07-25 14:55:00,9148
83,628125427925,sms,2025-07-27 06:02:00,1
84,628127929127,sms,2025-07-21 23:23:00,1
85,628129555460,data,2025-07-20 16:31:00,7407
86,628129275830,voice,2025-07-21 17:13:00,589
87,628125869967,sms,2025-07-21 06:27:00,1
88,628126599273,sms,2025-07-27 04:06:00,1
89,628122835382,voice,2025-07-23 01:17:00,413
90,628129773428,voice,2025-07-26 13:18:00,355
91,628128022352,voice,2025-07-24 13:33:00,379
92,628123406093,data,2025-07-24 08:43:00,4332
93,628124436342,data,2025-07-24 23:09:00,4260
94,628129404565,voice,2025-07-24 13:58:00,571
95,628128022352,voice,2025-07-26 01:12:00,143
96,628128459736,data,2025-07-26 17:47:00,2993
97,628124407944,sms,2025-07-21 21:52:00,1
98,628121639031,data,2025-07-26 22:52:00,1985
99,628125883543,data,2025-07-26 12:37:00,5517
100,628128084492,data,2025-07-26 07:05:00,1975
101,628125616724,data,2025-07-23 00:28:00,2807
102,628128396589,data,2025-07-24 06:13:00,8981
103,628125680798,sms,2025-07-26 12:31:00,1
104,628127240912,voice,2025-07-21 20:12:00,403
105,628129193113,sms,2025-07-22 06:17:00,1
106,628124932385,sms,2025-07-21 05:05:00,1
107,628124099401,voice,2025-07-24 18:49:00,431
108,628129981378,voice,2025-07-20 08:22:00,327
109,628126788668,voice,2025-07-23 12:54:00,328
110,628124066329,data,2025-07-20 16:24:00,7019
111,628126700192,sms,2025-07-23 14:21:00,1
112,628122956838,sms,2025-07-24 11:46:00,1
113,628128479416,sms,2025-07-20 08:10:00,1
114,628123926618,data,2025-07-21 15:27:00,6527
115,628128238971,data,2025-07-21 00:48:00,4803
116,628123128711,voice,2025-07-23 19:07:00,136
117,628121890704,voice,2025-07-20 11:01:00,503
118,628122461875,sms,2025-07-20 20:13:00,1
119,628121855377,sms,2025-07-23 22:50:00,1
120,628123230934,voice,2025-07-26 03:38:00,151
121,628127317829,voice,2025-07-27 00:23:00,108
122,628122978943,sms,2025-07-26 16:42:00,1
123,628125522032,data,2025-07-22 03:09:00,9658
124,628122817762,voice,2025-07-26 09:33:00,462
125,628122835382,data,2025-07-22 17:54:00,7468
126,628125956097,data,2025-07-26 20:13:00,7284
127,628127386749,voice,2025-07-26 16:06:00,362
128,628124102206,voice,2025-07-23 18:12:00,304
129,628128373837,data,2025-07-21 16:45:00,1990
130,628125070535,data,2025-07-24 12:52:00,6404
131,628124436342,voice,2025-07-25 15:36:00,498
132,628122579708,data,2025-07-23 07:14:00,9018
133,628129232334,sms,2025-07-26 10:49:00,1
134,628121456310,sms,2025-07-24 15:29:00,1
135,628125011111,voice,2025-07-25 02:49:00,580
136,628126913950,data,2025-07-25 23:42:00,3991
137,628122112067,data,2025-07-25 19:59:00,4757
138,628124676053,sms,2025-07-22 20:11:00,1
139,628127261360,sms,2025-07-25 14:22:00,1
140,628128505689,sms,2025-07-25 15:50:00,1
141,628127574083,data,2025-07-22 20:58:00,4115
142,628124629967,sms,2025-07-24 08:26:00,1
143,628122118074,data,2025-07-22 18:31:00,6662
144,628128505689,voice,2025-07-20 14:45:00,493
145,628123128711,sms,2025-07-20 16:08:00,1
146,628126393762,voice,2025-07-25 17:13:00,186
147,628124842807,sms,2025-07-25 03:56:00,1
148,628121573634,sms,2025-07-23 15:53:00,1
149,628125350008,voice,2025-07-26 00:08:00,247
150,628122781178,sms,2025-07-24 01:18:00,1
151,628129634266,voice,2025-07-20 23:56:00,565
152,628126778447,voice,2025-07-25 23:22:00,502
153,628124792749,voice,2025-07-21 02:50:00,469
154,628129710190,data,2025-07-22 01:53:00,745
155,628126954104,sms,2025-07-24 13:23:00,1
156,628122321400,voice,2025-07-21 00:52:00,482
157,628122230081,sms,2025-07-25 07:49:00,1
158,628124826275,data,2025-07-27 01:25:00,6243
159,628125635032,voice,2025-07-23 20:51:00,142
160,628125268739,voice,2025-07-26 12:58:00,136
161,628125568407,sms,2025-07-25 02:16:00,1
162,628125869967,sms,2025-07-23 11:19:00,1
163,628122112067,voice,2025-07-26 20:13:00,254
164,628125070535,sms,2025-07-23 16:37:00,1
165,628125269224,sms,2025-07-25 16:32:00,1
166,628126942680,data,2025-07-21 13:14:00,8200
167,628126700192,sms,2025-07-25 04:27:00,1
168,628122282682,voice,2025-07-23 13:30:00,365
169,628121456310,sms,2025-07-21 17:52:00,1
170,628127317829,sms,2025-07-27 06:11:00,1
171,628127574083,sms,2025-07-25 15:44:00,1
172,628124437179,voice,2025-07-25 22:31:00,450
173,628123715273,voice,2025-07-23 18:26:00,229
174,628126343816,sms,2025-07-21 21:12:00,1
175,628122530440,voice,2025-07-24 00:47:00,348
176,628124826275,sms,2025-07-21 12:05:00,1
177,628127660914,data,2025-07-27 07:50:00,476
178,628121890462,voice,2025-07-20 10:51:00,376
179,628123523318,sms,2025-07-22 10:26:00,1
180,628124984104,sms,2025-07-25 06:50:00,1
181,628121855377,data,2025-07-27 06:10:00,1908
182,628129805646,voice,2025-07-26 07:35:00,579
183,628122802955,sms,2025-07-24 11:12:00,1
184,628122425329,sms,2025-07-24 18:47:00,1
185,628121890462,data,2025-07-26 00:05:00,5658
186,628124492159,sms,2025-07-24 14:53:00,1
187,628122416021,voice,2025-07-23 21:56:00,388
188,628126942680,data,2025-07-25 04:30:00,9995
189,628123561312,sms,2025-07-23 09:21:00,1
190,628125207422,sms,2025-07-22 17:31:00,1
191,628121323299,voice,2025-07-24 21:37:00,303
192,628129286578,data,2025-07-26 15:34:00,6670
193,628122342249,data,2025-07-23 12:58:00,1292
194,628129554796,voice,2025-07-25 15:09:00,254
195,628124842807,data,2025-07-24 16:14:00,6837
196,628126343816,voice,2025-07-22 22:57:00,203
197,628128106037,voice,2025-07-22 18:21:00,200
198,628122978943,sms,2025-07-25 04:58:00,1
199,628127955925,sms,2025-07-23 01:32:00,1
200,628123884087,data,2025-07-26 04:03:00,7248
201,628122534756,voice,2025-07-25 21:10:00,487
202,628123116190,sms,2025-07-26 00:19:00,1
203,628126175485,voice,2025-07-22 06:58:00,497
204,628124410930,data,2025-07-20 09:13:00,7032
205,628124046023,data,2025-07-21 12:21:00,6975
206,628125956097,sms,2025-07-24 20:39:00,1
207,628125226050,voice,2025-07-27 02:22:00,231
208,628129362615,data,2025-07-23 20:57:00,4008
209,628128317625,voice,2025-07-24 03:02:00,53
210,628127910781,voice,2025-07-23 10:57:00,73
211,628125011111,sms,2025-07-24 19:52:00,1
212,628124755896,data,2025-07-22 17:30:00,4832
213,628126414897,data,2025-07-21 23:54:00,4935
214,628127499576,voice,2025-07-21 21:53:00,438
215,628127462323,data,2025-07-20 19:54:00,6338
216,628128084492,sms,2025-07-27 01:54:00,1
217,628126069365,voice,2025-07-27 07:59:00,391
218,628121842944,sms,2025-07-22 15:46:00,1
219,628121890704,data,2025-07-21 17:33:00,3878
220,628127955925,sms,2025-07-27 01:57:00,1
221,628121554632,sms,2025-07-25 05:50:00,1
222,628125113890,voice,2025-07-20 11:57:00,486
223,628128719610,voice,2025-07-23 19:32:00,288
224,628124676053,voice,2025-07-22 12:13:00,340
225,628127797739,voice,2025-07-22 15:11:00,319
226,628127680395,data,2025-07-23 13:47:00,885
227,628129418821,sms,2025-07-27 01:42:00,1
228,628121216401,sms,2025-07-22 10:01:00,1
229,628122291294,voice,2025-07-26 08:44:00,143
230,628125354089,sms,2025-07-25 02:32:00,1
231,628122230081,sms,2025-07-24 16:39:00,1
232,628127527001,voice,2025-07-22 06:56:00,225
233,628128515246,sms,2025-07-23 18:24:00,1
234,628124386694,data,2025-07-23 03:30:00,7891
235,628123711022,voice,2025-07-23 15:09:00,266
236,628124755896,sms,2025-07-22 20:12:00,1
237,628125186602,sms,2025-07-23 09:53:00,1
238,628123230934,data,2025-07-24 08:05:00,9296
239,628122579708,data,2025-07-23 20:32:00,1509
240,628122291294,data,2025-07-25 19:14:00,4075
241,628121842944,data,2025-07-23 19:42:00,4449
242,628129014346,voice,2025-07-24 15:50:00,520
243,628122112067,voice,2025-07-20 21:44:00,537
244,628128323825,voice,2025-07-23 09:49:00,507
245,628124509780,data,2025-07-21 10:06:00,6081
246,628128589947,sms,2025-07-24 23:41:00,1
247,628125214769,data,2025-07-24 12:57:00,4096
248,628129014346,voice,2025-07-26 08:35:00,294
249,628124629967,voice,2025-07-20 22:47:00,87
250,628124034289,data,2025-07-23 23:13:00,1326
251,628126091189,data,2025-07-24 19:13:00,3785
252,628124984104,data,2025-07-22 01:11:00,8944
253,628122522268,sms,2025-07-20 23:09:00,1
254,628122092837,voice,2025-07-21 05:43:00,352
255,628124357883,sms,2025-07-22 22:58:00,1
256,628121120966,voice,2025-07-26 11:33:00,512
257,628126177283,data,2025-07-23 08:19:00,8811
258,628122342249,data,2025-07-24 20:04:00,5505
259,628124034289,data,2025-07-26 09:14:00,2583
260,628125186602,voice,2025-07-26 09:01:00,227
261,628128032447,data,2025-07-21 14:15:00,8808
262,628126067746,voice,2025-07-21 02:43:00,315
263,628123914376,voice,2025-07-24 20:54:00,478
264,628121828028,data,2025-07-22 18:53:00,4399
265,628124357883,sms,2025-07-25 11:43:00,1
266,628121639031,sms,2025-07-27 01:34:00,1
267,628128941016,voice,2025-07-25 05:59:00,104
268,628121041686,data,2025-07-24 16:01:00,1492
269,628125740064,sms,2025-07-24 17:28:00,1
270,628129773428,data,2025-07-23 13:43:00,233
271,628125238061,voice,2025-07-23 07:49:00,483
272,628122785004,data,2025-07-21 22:21:00,6972
273,628121554632,sms,2025-07-20 10:13:00,1
274,628122522268,voice,2025-07-22 21:45:00,165
275,628122579708,voice,2025-07-25 11:09:00,90
276,628121300848,sms,2025-07-22 23:02:00,1
277,628123484851,voice,2025-07-22 00:15:00,31
278,628123708899,voice,2025-07-23 03:06:00,365
279,628123230934,voice,2025-07-27 01:36:00,232
280,628124842807,sms,2025-07-26 06:11:00,1
281,628128666646,voice,2025-07-21 17:33:00,121
282,628129471473,sms,2025-07-21 02:06:00,1
283,628129418821,voice,2025-07-24 14:27:00,378
284,628122532205,data,2025-07-23 19:40:00,1487
285,628124368095,sms,2025-07-23 04:04:00,1
286,628129981378,sms,2025-07-24 08:31:00,1
287,628122581962,data,2025-07-27 07:00:00,7196
288,628123128711,sms,2025-07-23 08:13:00,1
289,628125214769,sms,2025-07-24 01:41:00,1
290,628124358063,voice,2025-07-22 19:44:00,290
291,628124932385,sms,2025-07-26 13:52:00,1
292,628127797739,voice,2025-07-20 10:10:00,487
293,628125568407,sms,2025-07-21 06:23:00,1
294,628122465108,voice,2025-07-22 19:06:00,276
295,628129275830,voice,2025-07-26 02:26:00,172
296,628125956097,voice,2025-07-20 20:27:00,311
297,628129219357,data,2025-07-24 02:53:00,7216
298,628122465108,voice,2025-07-23 10:37:00,465
299,628126843852,data,2025-07-26 10:17:00,3915
300,628124376832,voice,2025-07-22 11:41:00,551
301,628128106037,data,2025-07-26 22:25:00,8852
302,628124524252,voice,2025-07-20 13:27:00,90
303,628127660914,voice,2025-07-21 23:36:00,199
304,628129935053,data,2025-07-24 17:21:00,3577
305,628128238971,voice,2025-07-23 16:32:00,229
306,628121493224,data,2025-07-25 13:37:00,5792
307,628124345697,data,2025-07-22 02:46:00,3204
308,628127240912,sms,2025-07-26 13:48:00,1
309,628122112067,data,2025-07-22 23:28:00,186
310,628128667730,voice,2025-07-25 20:46:00,99
311,628122579708,sms,2025-07-25 02:01:00,1
312,628121890704,voice,2025-07-26 20:48:00,410
313,628126531362,voice,2025-07-25 00:41:00,396
314,628124698581,data,2025-07-25 11:40:00,9822
315,628129471473,sms,2025-07-24 07:45:00,1
316,628121216401,sms,2025-07-26 00:05:00,1
317,628125604546,voice,2025-07-20 18:33:00,353
318,628129495690,sms,2025-07-25 06:15:00,1
319,628129909486,voice,2025-07-24 20:52:00,460
320,628121078255,sms,2025-07-24 17:48:00,1
321,628129495690,data,2025-07-23 17:50:00,3799
322,628122465108,data,2025-07-23 20:03:00,6936
323,628121348559,voice,2025-07-25 12:18:00,550
324,628121828028,voice,2025-07-26 15:30:00,596
325,628125226050,sms,2025-07-24 04:53:00,1
326,628122956838,data,2025-07-23 22:50:00,6619
327,628123520711,data,2025-07-26 22:46:00,9660
328,628127815315,voice,2025-07-25 01:53:00,165
329,628128373837,sms,2025-07-26 14:27:00,1
330,628124357883,sms,2025-07-26 17:07:00,1
331,628123520711,data,2025-07-26 06:13:00,248
332,628121828028,data,2025-07-23 03:03:00,3222
333,628128465257,voice,2025-07-22 00:12:00,32
334,628121343232,voice,2025-07-26 02:50:00,575
335,628129172628,voice,2025-07-24 06:20:00,285
336,628122506646,data,2025-07-22 20:46:00,3635
337,628122461875,data,2025-07-20 19:55:00,3871
338,628124629967,data,2025-07-23 16:17:00,9399
339,628126913950,sms,2025-07-22 06:23:00,1
340,628127178348,sms,2025-07-25 16:02:00,1
341,628123230934,sms,2025-07-22 13:24:00,1
342,628128317625,sms,2025-07-26 11:52:00,1
343,628125504299,data,2025-07-22 21:58:00,931
344,628123835509,voice,2025-07-26 04:30:00,59
345,628125680798,sms,2025-07-27 00:34:00,1
346,628123715273,data,2025-07-25 08:39:00,4419
347,628122312229,voice,2025-07-23 22:40:00,486
348,628127499576,voice,2025-07-22 03:23:00,260
349,628126531362,voice,2025-07-26 18:38:00,430
350,628127462323,data,2025-07-26 05:22:00,6546
351,628126778447,sms,2025-07-24 00:59:00,1
352,628125113890,voice,2025-07-22 00:12:00,118
353,628127399029,data,2025-07-22 16:18:00,2490
354,628128106037,data,2025-07-22 17:35:00,9947
355,628127904382,sms,2025-07-26 10:17:00,1
356,628125186602,sms,2025-07-21 08:00:00,1
357,628126067746,sms,2025-07-26 01:30:00,1
358,628126778447,sms,2025-07-20 21:34:00,1
359,628124386694,sms,2025-07-25 05:26:00,1
360,628124834128,sms,2025-07-22 20:25:00,1
361,628129275830,voice,2025-07-26 05:33:00,101
362,628129909486,voice,2025-07-21 00:02:00,355
363,628128084492,sms,2025-07-26 19:08:00,1
364,628129695941,sms,2025-07-20 22:59:00,1
365,628123407988,voice,2025-07-23 12:43:00,42
366,628124984104,voice,2025-07-25 03:27:00,563
367,628129710190,sms,2025-07-21 09:24:00,1
368,628122956838,sms,2025-07-21 07:20:00,1
369,628124676053,sms,2025-07-27 04:05:00,1
370,628127618798,voice,2025-07-26 13:24:00,294
371,628122835382,sms,2025-07-21 05:32:00,1
372,628123030673,data,2025-07-26 01:22:00,5641
373,628124354801,voice,2025-07-23 01:38:00,226
374,628126343816,data,2025-07-22 12:56:00,5374
375,628129418821,data,2025-07-23 00:07:00,5890
376,628129471599,sms,2025-07-26 23:13:00,1
377,628129773428,voice,2025-07-25 16:59:00,88
378,628127466049,voice,2025-07-23 14:42:00,264
379,628122522268,data,2025-07-26 17:29:00,8568
380,628123938985,voice,2025-07-22 15:27:00,163
381,628127240912,data,2025-07-25 18:31:00,584
382,628122312229,voice,2025-07-22 09:34:00,358
383,628125186602,sms,2025-07-20 19:05:00,1
384,628126959539,voice,2025-07-23 16:37:00,459
385,628125350008,data,2025-07-20 09:37:00,3196
386,628125207422,data,2025-07-23 17:43:00,8439
387,628124141639,data,2025-07-25 23:29:00,3871
388,628122900393,voice,2025-07-22 06:11:00,381
389,628125045729,sms,2025-07-22 21:04:00,1
390,628122039713,sms,2025-07-24 22:55:00,1
391,628126343932,voice,2025-07-21 19:16:00,520
392,628125011111,sms,2025-07-24 15:16:00,1
393,628122956838,sms,2025-07-21 21:34:00,1
394,628128697089,data,2025-07-24 07:04:00,8845
395,628125350008,voice,2025-07-26 19:44:00,548
396,628124842807,data,2025-07-25 16:30:00,639
397,628122425329,voice,2025-07-24 09:34:00,31
398,628122461875,data,2025-07-23 19:46:00,5447
399,628122598761,voice,2025-07-24 11:11:00,149
400,628126599273,data,2025-07-25 06:53:00,7674
401,628125350008,voice,2025-07-26 23:23:00,298
402,628122312229,data,2025-07-24 12:49:00,2422
403,628122379923,voice,2025-07-27 00:25:00,466
404,628122092837,voice,2025-07-26 22:01:00,485
405,628129053729,sms,2025-07-23 11:01:00,1
406,628127399029,sms,2025-07-20 16:31:00,1
407,628123188453,data,2025-07-22 20:22:00,5692
408,628128705800,voice,2025-07-23 13:57:00,150
409,628125504299,sms,2025-07-22 07:07:00,1
410,628129935053,voice,2025-07-20 09:42:00,478
411,628122579708,data,2025-07-23 18:32:00,5142
412,628126475425,sms,2025-07-20 23:45:00,1
413,628126343816,sms,2025-07-25 02:21:00,1
414,628123926618,data,2025-07-20 11:35:00,4934
415,628127164404,data,2025-07-21 08:01:00,6096
416,628125548372,data,2025-07-22 19:19:00,1263
417,628129053729,data,2025-07-25 07:06:00,2848
418,628122425329,data,2025-07-22 13:50:00,6930
419,628123938985,data,2025-07-25 20:43:00,9154
420,628125548372,voice,2025-07-23 23:04:00,562
421,628125350008,data,2025-07-24 06:52:00,4035
422,628121855377,data,2025-07-21 00:08:00,9113
423,628125579247,data,2025-07-23 00:37:00,1818
424,628126843852,voice,2025-07-21 14:47:00,468
425,628125070535,data,2025-07-25 03:33:00,4431
426,628122802955,sms,2025-07-25 00:09:00,1
427,628124492159,voice,2025-07-26 19:52:00,369
428,628125030476,data,2025-07-25 21:50:00,1203
429,628126599273,voice,2025-07-22 05:37:00,233
430,628127660914,data,2025-07-26 20:15:00,169
431,628122985999,sms,2025-07-24 18:47:00,1
432,628126788668,data,2025-07-26 17:51:00,1013
433,628127399029,voice,2025-07-22 22:08:00,534
434,628121446676,data,2025-07-24 21:53:00,5436
435,628125226050,data,2025-07-22 22:49:00,2979
436,628122416021,voice,2025-07-23 05:43:00,237
437,628126188918,voice,2025-07-25 14:44:00,182
438,628127618798,data,2025-07-24 20:21:00,2702
439,628123914376,voice,2025-07-24 21:36:00,47
440,628124755896,sms,2025-07-27 07:25:00,1
441,628121493224,sms,2025-07-25 14:36:00,1
442,628121392111,data,2025-07-21 15:30:00,7841
443,628127462323,sms,2025-07-23 15:36:00,1
444,628127164404,voice,2025-07-24 07:21:00,128
445,628125504299,data,2025-07-20 17:06:00,9428
446,628123188453,sms,2025-07-22 13:57:00,1
447,628123128711,data,2025-07-27 01:45:00,5679
448,628126881506,voice,2025-07-23 00:13:00,569
449,628124368095,sms,2025-07-26 10:03:00,1
450,628125771288,sms,2025-07-23 18:44:00,1
451,628123407988,voice,2025-07-20 11:05:00,581
452,628122817762,voice,2025-07-21 07:34:00,90
453,628123484851,voice,2025-07-20 22:16:00,296
454,628125030476,sms,2025-07-25 15:15:00,1
455,628128265507,sms,2025-07-20 22:17:00,1
456,628126733746,voice,2025-07-24 06:29:00,544
457,628125635032,voice,2025-07-20 12:56:00,380
458,628124410930,voice,2025-07-26 23:55:00,311
459,628121855377,data,2025-07-21 12:27:00,7988
460,628126942680,sms,2025-07-26 06:41:00,1
461,628129699184,voice,2025-07-25 05:13:00,208
462,628128269133,data,2025-07-21 20:25:00,3427
463,628129773428,voice,2025-07-21 01:50:00,237
464,628125877604,voice,2025-07-24 00:10:00,598
465,628122700314,voice,2025-07-24 04:00:00,211
466,628129418821,voice,2025-07-23 12:18:00,96
467,628127466049,data,2025-07-20 09:23:00,4563
468,628125548372,voice,2025-07-23 11:40:00,191
469,628126343932,voice,2025-07-21 11:15:00,180
470,628124358063,voice,2025-07-21 03:39:00,351
471,628129453631,data,2025-07-24 07:04:00,501
472,628129404565,sms,2025-07-23 06:40:00,1
473,628127660914,voice,2025-07-26 14:25:00,156
474,628125805823,data,2025-07-23 01:48:00,7613
475,628122598761,voice,2025-07-23 17:25:00,34
476,628126188918,voice,2025-07-20 23:40:00,397
477,628122785004,sms,2025-07-23 13:56:00,1
478,628125475259,data,2025-07-20 09:59:00,4579
479,628126843852,voice,2025-07-26 13:26:00,187
480,628124410930,data,2025-07-21 09:21:00,7181
481,628124357883,voice,2025-07-20 13:34:00,581
482,628127797739,sms,2025-07-21 07:11:00,1
483,628125740064,sms,2025-07-22 06:58:00,1
484,628125504299,voice,2025-07-25 16:10:00,537
485,628125696120,voice,2025-07-24 07:07:00,420
486,628129555460,sms,2025-07-21 00:36:00,1
487,628123715273,voice,2025-07-24 00:48:00,304
488,628128941016,data,2025-07-26 14:31:00,9455
489,628127618798,voice,2025-07-21 07:00:00,265
490,628121160723,data,2025-07-21 16:47:00,5189
491,628123128711,voice,2025-07-20 08:22:00,140
492,628123715273,voice,2025-07-23 12:10:00,432
493,628126509018,voice,2025-07-22 04:23:00,40
494,628127955925,voice,2025-07-20 15:41:00,39
495,628127261360,voice,2025-07-26 00:51:00,502
496,628122337980,data,2025-07-26 19:40:00,4010
497,628126881506,data,2025-07-21 16:20:00,408
498,628122700314,voice,2025-07-24 23:12:00,436
499,628129935053,voice,2025-07-26 07:41:00,104
500,628124141639,sms,2025-07-26 05:19:00,1
501,628129710190,voice,2025-07-21 22:31:00,505
502,628129495690,sms,2025-07-26 14:34:00,1
503,628126942680,data,2025-07-22 07:52:00,1610
504,628127527001,voice,2025-07-22 09:26:00,188
505,628125427925,voice,2025-07-25 03:44:00,444
506,628121502217,data,2025-07-20 08:45:00,1925
507,628128589947,data,2025-07-27 06:55:00,6231
508,628128697089,voice,2025-07-26 23:11:00,339
509,628128883465,sms,2025-07-22 06:11:00,1
510,628128317625,sms,2025-07-21 17:51:00,1
511,628129014346,voice,2025-07-21 07:32:00,249
512,628129695941,data,2025-07-23 18:05:00,2839
513,628127284582,voice,2025-07-26 21:34:00,203
514,628123938985,data,2025-07-27 02:43:00,6082
515,628124509780,sms,2025-07-21 04:14:00,1
516,628124909450,sms,2025-07-21 03:31:00,1
517,628121493224,data,2025-07-23 15:06:00,7934
518,628123884087,data,2025-07-21 12:39:00,8621
519,628121216401,sms,2025-07-20 18:10:00,1
520,628124932385,sms,2025-07-24 03:31:00,1
521,628129206424,voice,2025-07-24 15:25:00,300
522,628122522268,data,2025-07-24 13:21:00,6268
523,628123484851,voice,2025-07-22 14:41:00,203
524,628122802955,data,2025-07-25 22:43:00,4918
525,628128479416,data,2025-07-24 17:17:00,8598
526,628124592489,data,2025-07-21 01:00:00,6295
527,628126393762,voice,2025-07-23 12:33:00,188
528,628128084492,voice,2025-07-21 07:51:00,480
529,628121263060,data,2025-07-24 04:30:00,9516
530,628125877604,data,2025-07-22 11:30:00,8550
531,628128479416,sms,2025-07-22 02:56:00,1
532,628123938985,data,2025-07-23 22:21:00,8684
533,628123523318,data,2025-07-26 01:14:00,464
534,628127164404,data,2025-07-22 07:09:00,9161
535,628124407944,voice,2025-07-20 21:40:00,493
536,628124209533,sms,2025-07-25 23:23:00,1
537,628128569307,voice,2025-07-26 15:26:00,544
538,628126999953,voice,2025-07-23 05:21:00,45
539,628121231141,sms,2025-07-20 15:06:00,1
540,628127164404,data,2025-07-24 16:59:00,258
541,628122461875,voice,2025-07-23 08:55:00,526
542,628122785004,voice,2025-07-24 19:05:00,211
543,628128802589,voice,2025-07-23 13:22:00,230
544,628128943960,data,2025-07-22 06:08:00,3861
545,628124592489,data,2025-07-24 03:10:00,3192
546,628129362615,data,2025-07-27 00:00:00,3100
547,628125268739,voice,2025-07-24 17:15:00,473
548,628125045729,data,2025-07-26 12:29:00,2292
549,628125100388,sms,2025-07-22 06:03:00,1
550,628123593273,voice,2025-07-24 04:39:00,418
551,628126700192,data,2025-07-20 22:09:00,9971
552,628125207422,data,2025-07-25 00:00:00,4946
553,628122643475,data,2025-07-23 15:03:00,7719
554,628124410930,voice,2025-07-27 07:50:00,562
555,628127386749,sms,2025-07-22 17:04:00,1
556,628129362615,data,2025-07-21 01:36:00,7879
557,628124826275,sms,2025-07-22 13:04:00,1
558,628123116190,data,2025-07-24 03:35:00,4843
